No,Position,Rank,Discipline,Yrs.since.phd,Yrs.service,Sex,Salary
1,Prof,1,B,19,18,Male,139750
2,Prof,1,B,20,16,Male,173200
3,AsstProf,3,B,4,3,Male,79750
4,Prof,1,B,45,39,Male,115000
5,Prof,1,B,40,41,Male,141500
6,AssocProf,2,B,6,6,Male,97000
7,Prof,1,B,30,23,Male,175000
8,Prof,1,B,45,45,Male,147765
9,Prof,1,B,21,20,Male,119250
10,Prof,1,B,18,18,Female,129000
11,AssocProf,2,B,12,8,Male,119800
12,AsstProf,3,B,7,2,Male,79800
13,AsstProf,3,B,1,1,Male,77700
14,AsstProf,3,B,2,0,Male,78000
15,Prof,1,B,20,18,Male,104800
16,Prof,1,B,12,3,Male,117150
17,Prof,1,B,19,20,Male,101000
18,Prof,1,A,38,34,Male,103450
19,Prof,1,A,37,23,Male,124750
20,Prof,1,A,39,36,Female,137000
21,Prof,1,A,31,26,Male,89565
22,Prof,1,A,36,31,Male,102580
23,Prof,1,A,34,30,Male,93904
24,Prof,1,A,24,19,Male,113068
25,AssocProf,2,A,13,8,Female,74830
26,Prof,1,A,21,8,Male,106294
27,Prof,1,A,35,23,Male,134885
28,AsstProf,3,B,5,3,Male,82379
29,AsstProf,3,B,11,0,Male,77000
30,Prof,1,B,12,8,Male,118223
31,Prof,1,B,20,4,Male,132261
32,AsstProf,3,B,7,2,Male,79916
33,Prof,1,B,13,9,Male,117256
34,AsstProf,3,B,4,2,Male,80225
35,AsstProf,3,B,4,2,Female,80225
36,AsstProf,3,B,5,0,Female,77000
37,Prof,1,B,22,21,Male,155750
38,AsstProf,3,B,7,4,Male,86373
39,Prof,1,B,41,31,Male,125196
40,AssocProf,2,B,9,9,Male,100938
41,Prof,1,B,23,2,Male,146500
42,AssocProf,2,B,23,23,Male,93418
43,Prof,1,B,40,27,Male,101299
44,Prof,1,B,38,38,Male,231545
45,Prof,1,B,19,19,Male,94384
46,Prof,1,B,25,15,Male,114778
47,Prof,1,B,40,28,Male,98193
48,Prof,1,B,23,19,Female,151768
49,Prof,1,B,25,25,Female,140096
50,AsstProf,3,B,1,1,Male,70768
51,Prof,1,B,28,28,Male,126621
52,Prof,1,B,12,11,Male,108875
53,AsstProf,3,B,11,3,Female,74692
54,Prof,1,B,16,9,Male,106639
55,AssocProf,2,B,12,11,Male,103760
56,AssocProf,2,B,14,5,Male,83900
57,Prof,1,B,23,21,Male,117704
58,AssocProf,2,B,9,8,Male,90215
59,AssocProf,2,B,10,9,Male,100135
60,AsstProf,3,B,8,3,Male,75044
61,AssocProf,2,B,9,8,Male,90304
62,AsstProf,3,B,3,2,Male,75243
63,Prof,1,B,33,31,Male,109785
64,AssocProf,2,B,11,11,Female,103613
65,AsstProf,3,B,4,3,Male,68404
66,AssocProf,2,B,9,8,Male,100522
67,Prof,1,B,22,12,Male,101000
68,Prof,1,B,35,31,Male,99418
69,Prof,1,B,17,17,Female,111512
70,Prof,1,B,28,36,Male,91412
71,Prof,1,B,17,2,Male,126320
72,Prof,1,B,45,45,Male,146856
73,Prof,1,B,29,19,Male,100131
74,Prof,1,B,35,34,Male,92391
75,Prof,1,B,28,23,Male,113398
76,AsstProf,3,B,8,3,Male,73266
77,Prof,1,B,17,3,Male,150480
78,Prof,1,B,26,19,Male,193000
79,AsstProf,3,B,3,1,Male,86100
80,AsstProf,3,B,6,2,Male,84240
81,Prof,1,B,43,28,Male,150743
82,Prof,1,B,17,16,Male,135585
83,Prof,1,B,22,20,Male,144640
84,AsstProf,3,B,6,2,Male,88825
85,Prof,1,B,17,18,Female,122960
86,Prof,1,B,15,14,Male,132825
87,Prof,1,B,37,37,Male,152708
88,AsstProf,3,B,2,2,Male,88400
89,Prof,1,B,25,25,Male,172272
90,AssocProf,2,B,9,7,Male,107008
91,AsstProf,3,B,10,5,Female,97032
92,AssocProf,2,B,10,7,Male,105128
93,AssocProf,2,B,10,7,Male,105631
94,Prof,1,B,38,38,Male,166024
95,Prof,1,B,21,20,Male,123683
96,AsstProf,3,B,4,0,Male,84000
97,AssocProf,2,B,17,12,Male,95611
98,Prof,1,B,13,7,Male,129676
99,Prof,1,B,30,14,Male,102235
100,Prof,1,B,41,26,Male,106689
101,Prof,1,B,42,25,Male,133217
102,Prof,1,B,28,23,Male,126933
103,Prof,1,B,16,5,Male,153303
104,Prof,1,B,20,14,Female,127512
105,AssocProf,2,A,18,10,Male,83850
106,Prof,1,A,31,28,Male,113543
107,AssocProf,2,A,11,8,Male,82099
108,AssocProf,2,A,10,8,Male,82600
109,AssocProf,2,A,15,8,Male,81500
110,Prof,1,A,40,31,Male,131205
111,Prof,1,A,20,16,Male,112429
112,AssocProf,2,A,19,16,Male,82100
113,AsstProf,3,A,3,1,Male,72500
114,Prof,1,A,37,37,Male,104279
115,Prof,1,A,12,0,Female,105000
116,Prof,1,A,21,9,Male,120806
117,Prof,1,A,30,29,Male,148500
118,Prof,1,A,39,36,Male,117515
119,AsstProf,3,A,4,1,Male,72500
120,AsstProf,3,A,5,3,Female,73500
121,Prof,1,A,14,14,Male,115313
122,Prof,1,A,32,32,Male,124309
123,Prof,1,A,24,22,Male,97262
124,AssocProf,2,A,25,22,Female,62884
125,Prof,1,A,24,22,Male,96614
126,Prof,1,A,54,49,Male,78162
127,Prof,1,A,28,26,Male,155500
128,AsstProf,3,A,2,0,Female,72500
129,Prof,1,A,32,30,Male,113278
130,AsstProf,3,A,4,2,Male,73000
131,AssocProf,2,A,11,9,Male,83001
132,Prof,1,A,56,57,Male,76840
133,AssocProf,2,A,10,8,Female,77500
134,AsstProf,3,A,3,1,Female,72500
135,Prof,1,A,35,25,Male,168635
136,Prof,1,A,20,18,Male,136000
137,Prof,1,A,16,14,Male,108262
138,Prof,1,A,17,14,Male,105668
139,AssocProf,2,A,10,7,Male,73877
140,Prof,1,A,21,18,Male,152664
141,AssocProf,2,A,14,8,Male,100102
142,AssocProf,2,A,15,10,Male,81500
143,Prof,1,A,19,11,Male,106608
144,AsstProf,3,B,3,3,Male,89942
145,Prof,1,B,27,27,Male,112696
146,Prof,1,B,28,28,Male,119015
147,AsstProf,3,B,4,4,Male,92000
148,Prof,1,B,27,27,Male,156938
149,Prof,1,B,36,26,Female,144651
150,AsstProf,3,B,4,3,Male,95079
151,Prof,1,B,14,12,Male,128148
152,AsstProf,3,B,4,4,Male,92000
153,Prof,1,B,21,9,Male,111168
154,AssocProf,2,B,12,10,Female,103994
155,AsstProf,3,B,4,0,Male,92000
156,Prof,1,B,21,21,Male,118971
157,AssocProf,2,B,12,18,Male,113341
158,AsstProf,3,B,1,0,Male,88000
159,AssocProf,2,B,6,6,Male,95408
160,Prof,1,B,15,16,Male,137167
161,AsstProf,3,B,2,2,Male,89516
162,Prof,1,B,26,19,Male,176500
163,AssocProf,2,B,22,7,Male,98510
164,AsstProf,3,B,3,3,Male,89942
165,AsstProf,3,B,1,0,Male,88795
166,Prof,1,B,21,8,Male,105890
167,Prof,1,B,16,16,Male,167284
168,Prof,1,B,18,19,Male,130664
169,AssocProf,2,B,8,6,Male,101210
170,Prof,1,B,25,18,Male,181257
171,AsstProf,3,B,5,5,Male,91227
172,Prof,1,B,19,19,Male,151575
173,Prof,1,B,37,24,Male,93164
174,Prof,1,B,20,20,Male,134185
175,AssocProf,2,B,17,6,Male,105000
176,Prof,1,B,28,25,Male,111751
177,AssocProf,2,B,10,7,Male,95436
178,AssocProf,2,B,13,9,Male,100944
179,Prof,1,B,27,14,Male,147349
180,AsstProf,3,B,3,3,Female,92000
181,Prof,1,B,11,11,Male,142467
182,Prof,1,B,18,5,Male,141136
183,AssocProf,2,B,8,8,Male,100000
184,Prof,1,B,26,22,Male,150000
185,Prof,1,B,23,23,Male,101000
186,Prof,1,B,33,30,Male,134000
187,AssocProf,2,B,13,10,Female,103750
188,Prof,1,B,18,10,Male,107500
189,AssocProf,2,B,28,28,Male,106300
190,Prof,1,B,25,19,Male,153750
191,Prof,1,B,22,9,Male,180000
192,Prof,1,B,43,22,Male,133700
193,Prof,1,B,19,18,Male,122100
194,AssocProf,2,B,19,19,Male,86250
195,AssocProf,2,B,48,53,Male,90000
196,AssocProf,2,B,9,7,Male,113600
197,AsstProf,3,B,4,4,Male,92700
198,AsstProf,3,B,4,4,Male,92000
199,Prof,1,B,34,33,Male,189409
200,Prof,1,B,38,22,Male,114500
201,AsstProf,3,B,4,4,Male,92700
202,Prof,1,B,40,40,Male,119700
203,Prof,1,B,28,17,Male,160400
204,Prof,1,B,17,17,Male,152500
205,Prof,1,B,19,5,Male,165000
206,Prof,1,B,21,2,Male,96545
207,Prof,1,B,35,33,Male,162200
208,Prof,1,B,18,18,Male,120000
209,AsstProf,3,B,7,2,Male,91300
210,Prof,1,B,20,20,Male,163200
211,AsstProf,3,B,4,3,Male,91000
212,Prof,1,B,39,39,Male,111350
213,Prof,1,B,15,7,Male,128400
214,Prof,1,B,26,19,Male,126200
215,AssocProf,2,B,11,1,Male,118700
216,Prof,1,B,16,11,Male,145350
217,Prof,1,B,15,11,Male,146000
218,AssocProf,2,B,29,22,Male,105350
219,AssocProf,2,B,14,7,Female,109650
220,Prof,1,B,13,11,Male,119500
221,Prof,1,B,21,21,Male,170000
222,Prof,1,B,23,10,Male,145200
223,AssocProf,2,B,13,6,Male,107150
224,Prof,1,B,34,20,Male,129600
225,Prof,1,A,38,35,Male,87800
